id,name,province_id
1,Bocas del Toro,1
2,Changuinola,1
3,Chiriquí Grande,1
4,Aguadulce,2
5,Antón,2
6,La Pintada,2
7,Natá,2
8,Olá,2
9,Penonomé,2
10,Colón,3
11,Chagres,3
12,Donoso,3
13,Portobelo,3
14,Santa Isabel,3
15,Alanje,4
16,Barú,4
17,Boqueró,4
18,Boquet,4
19,Bugaba,4
20,David,4
21,Dolega,4
22,Gualaca,4
23,Remedios,4
24,Renacimiento,4
25,San Félix,4
26,San Lorenzo,4
27,Tolé,4
28,Chepigana,5
29,El Real de Santa María (Cabecera),5
30,Chitré,6
31,Las Minas,6
32,Los Pozos,6
33,Ocú,6
34,Parita,6
35,Pesé,6
36,Santa María,6
37,Guararé,7
38,Las Tablas,7
39,Los Santos,7
40,Macaracas,7
41,Pedasí,7
42,Pocrí,7
43,Tonosí,7
44,Balboa,8
45,Chepo,8
46,Chimán,8
47,Panamá,8
48,San Miguelito,8
49,Taboga,8
50,Atalaya,9
51,Calobre,9
52,Cañazas,9
53,La Mesa,9
54,Las Palmas,9
55,Montijo,9
56,Río de Jesús,9
57,San Francisco,9
58,Santa Fe,9
59,Santiago,9
60,Soná,9
61,Mariato,9
62,Comarca Kuna Yala,10
63,Cémaco,11
64,Sambú,11
65,Besiko,12
66,Mironó,12
67,Müna,12
68,Nole Duima,12
69,Ñürüm,12
70,Kankintú,12
71,Kusapín,12
72,Jirondai,12
73,Santa Catalina o Calovébora (Bladeshia),12
74,Arraiján,13
75,Capira,13
76,Chame,13
77,La Chorrera,13
78,San Carlos,13